algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
SVM,2.2,20,2,3900,8169,0.000509101,1.431373119,0.445250542,2.077771664,0.61865999,1.683646917,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.2,98,15,3900,6535,0.026154555,1.431816101,1.159373244,3.246603012,0.125876665,1.536580801,float64,0.976674641,0.984293194,0.839285714,0.906024096
Bagging Classifier,2.1,122,6,3119,8169,0.006932983,1.434991121,0.389388515,1.986930847,0.040443053,1.471639156,float64,0.963378176,0.906832298,0.811111111,0.856304985
Random Forest,2.2,92,16,3900,1633,0.017546149,1.457895994,0.66838039,2.519350052,0.091121467,1.532111883,float64,0.976674641,1,0.825892857,0.904645477
Bagging Classifier,2.2,134,15,3900,3268,0.025064739,1.449226141,0.363901407,1.883437872,0.074721644,1.480611086,float64,0.961124402,0.891625616,0.808035714,0.847775176
Random Forest,2.1,90,20,3900,8169,0.000824347,1.434648752,1.99644967,3.334445953,0.098389114,1.550899029,float64,0.977870813,0.989528796,0.84375,0.910843373
AdaBoost,2.1,102,22,3119,8169,0.006879383,1.44959712,0.523699051,2.143854856,0.08309838,1.517166138,float64,0.963378176,0.928104575,0.788888889,0.852852853
AdaBoost,2.1,101,10,3509,8169,0.006857492,1.434883118,0.618758517,2.281358242,0.064730781,1.531189919,float64,0.955481728,0.860962567,0.797029703,0.827763496
Decision Tree,2.1,28,19,779,8169,0.011063879,1.445432186,0.020321054,1.463066816,0.016504624,1.46407485,float64,0.958208955,0.87804878,0.8,0.837209302
KNN,2.2,78,11,3900,6535,0.025632604,1.461468935,0.013779914,1.444405794,0.34223869,1.720927,float64,0.889354067,0.975609756,0.178571429,0.301886792
AdaBoost,2.1,101,25,3509,8169,0.01162173,1.459612131,0.88685472,2.234374762,0.132998319,1.502794981,float64,0.955481728,0.860962567,0.797029703,0.827763496
KNN,2.2,78,8,3900,6535,0.026231959,1.459198952,0.011377987,1.440386057,0.265430835,1.748505116,float64,0.889354067,0.975609756,0.178571429,0.301886792
KNN,2.2,77,14,3900,5718,0.026984258,1.447430849,0.010244671,1.429378033,0.248060129,1.733403206,float64,0.88576555,1,0.147321429,0.256809339
